"API Error. Order: %s. Message: %s","Error de la API. Pedido: %s. Mensaje: %s"
"Cron Syntax","Sintaxis Cron"
"Email sent.","Correo electrónico enviado."
"Email template","Plantilla de Correo electrónico"
"Enable","Habilitar"
"Job execution has finished.","Se ha finalizado la ejecución del proceso."
"Job execution has started.","Se ha iniciado la ejecución del proceso."
"Like a cron expression: 0 0 * * *","Como una expresión de cron: 0 0 * * *"
"Magento","Magento"
"MercadoPago","MercadoPago"
"MercadoPago Plus - Account Balance","MercadoPago Plus - Estado de Cuenta"
"MercadoPago Plus - Order Status","MercadoPago Plus - Estado del Pedido"
"Name","Nombre"
"Order","Pedido"
"Recipient","Destinatario"
"Save logs for","Guardar registros durante"
"Select email recipient. You can set multiple addresses separated by , (comma).","Seleccione a destinatario de correo electrónico. Puede establecer varias direcciones separadas por, (coma)."
"Select email sender.","Seleccione remitente de correo electrónico."
"Select if the process can be executed.","Seleccione si el proceso puede ser ejecutado."
"Send Email","Enviar Correo electrónico"
"Sender","Remitente"
"The process can not run because it is disabled.","El proceso no se puede ejecutar porque está desactivado."
"There was an error trying to send the email.","Hubo un error tratando de enviar el correo electrónico."
"Total","Total"
"Unable to save Cron expression","No se puede guardar la expresión Cron"
"Updated At","Actualizado el"
