"Account Balance","Estado de Cuenta"
"API Error. Order: %s. Message: %s","Error de la API. Pedido: %s. Mensaje: %s"
"Client Id","ID de Cliente"
"Client Secret","Secreto de Cliente"
"Create payment buttons within the Admin.","Cree botones de pago en el Admin."
"Credentials","Credenciales"
"Cron Syntax","Sintaxis Cron"
"Email sent.","Correo electrónico enviado."
"Email template","Plantilla de Correo electrónico"
"Enable","Habilitar"
"Instructions","Instrucciones"
"Job execution has finished.","Se ha finalizado la ejecución del proceso."
"Job execution has started.","Se ha iniciado la ejecución del proceso."
"Like a cron expression: 0 0 * * *","Como una expresión de cron: 0 0 * * *"
"Magento","Magento"
"MercadoPago","MercadoPago"
"MercadoPago Plus - Account Balance","MercadoPago Plus - Estado de Cuenta"
"MercadoPago Plus - Button","MercadoPago Plus - Botón"
"MercadoPago Plus - Order Status","MercadoPago Plus - Estado del Pedido"
"Name","Nombre"
"New order status","Nuevo estado del pedido"
"Notification Url","Url de Notificación"
"Order","Pedido"
"Order Status","Estado del Pedido"
"Pay with MercadoPago","Pagar con MercadoPago"
"Recipient","Destinatario"
"Save logs for","Guardar registros durante"
"Select email recipient. You can set multiple addresses separated by , (comma).","Seleccione a destinatario de correo electrónico. Puede establecer varias direcciones separadas por, (coma)."
"Select email sender.","Seleccione remitente de correo electrónico."
"Select if the process can be executed.","Seleccione si el proceso puede ser ejecutado."
"Send Email","Enviar Correo electrónico"
"Sender","Remitente"
"Source","Fuente"
"The process can not run because it is disabled.","El proceso no se puede ejecutar porque está desactivado."
"There was an error trying to send the email.","Hubo un error tratando de enviar el correo electrónico."
"Title","Título"
"Total","Total"
"Unable to save Cron expression","No se puede guardar la expresión Cron"
"Updated At","Actualizado el"
"Use the same value assigned into your MercadoPago account to recieve IPN notifications.","Utilice el mismo valor asignado en su cuenta de MercadoPago para recibir notificaciones vía IPN."
"You can set your credentials here or use those assigned into the original module.","Puede establecer sus credenciales de aquí o utilizar las asignadas en el módulo original."
